"Longitude","Latitude"
-87.57837645,41.64468797
-87.5785911,41.64468846
-87.58567207,41.64470423
-87.58937236,41.64471229
-87.58938898,41.64469791
-87.58944919,41.6446508
-87.58962769,41.64464838
-87.58970131,41.64464799
-87.58995919,41.64464658
-87.59022966,41.64464509
-87.59042958,41.64464399
-87.59048952,41.64464366
-87.59074768,41.64464223
-87.5911114,41.64463957
-87.59156027,41.64463628
-87.59177283,41.64463694
-87.59203107,41.64463636
-87.59226692,41.64463552
-87.59264241,41.64463865
-87.59283534,41.64463879
-87.59290166,41.64463884
-87.59317788,41.64462695
-87.59332574,41.64461934
-87.59356313,41.64461519
-87.593624,41.64461552
-87.59405701,41.64461247
-87.59444632,41.64460364
-87.59485834,41.64459852
-87.59528223,41.64459597
-87.59535751,41.64459583
-87.59575374,41.64459507
-87.59617753,41.6445943
-87.59669529,41.64459587
-87.59709585,41.64459868
-87.5975894,41.64460198
-87.59778342,41.64460489
-87.59783793,41.64460571
-87.59823893,41.64461173
-87.59843895,41.64461136
-87.59863884,41.64461029
-87.59884845,41.64460949
-87.59924722,41.64460887
-87.59981236,41.64461009
-87.60007784,41.64461119
-87.60037753,41.64461244
-87.6012377,41.64461358
-87.60199137,41.64460954
-87.60249698,41.64461044
-87.602733,41.64461086
-87.6036279,41.64461199
-87.60442874,41.64460996
-87.60493114,41.64460869
-87.60510038,41.64460826
-87.60578292,41.64460688
-87.60653676,41.64460662
-87.60698392,41.64460684
-87.60734966,41.64460881
-87.6075024,41.64460962
-87.60799514,41.6446103
-87.60806,41.64460813
-87.60865816,41.64460802
-87.60897818,41.64460796
-87.60918351,41.64460788
-87.60925548,41.64460748
-87.60948566,41.64460618
-87.6098517,41.64460381
-87.61022148,41.6446014
-87.6104145,41.6446021
-87.61062216,41.64460281
-87.61071626,41.64460314
-87.61088524,41.64460371
-87.61123945,41.64460317
-87.61156039,41.64460268
-87.611956,41.64460114
-87.61210424,41.64460055
-87.61257449,41.64460389
-87.61290028,41.6446062
-87.61329272,41.6446082
-87.6133593,41.64460853
-87.6135883,41.64460799
-87.61382949,41.64460736
-87.61398617,41.6446062
-87.61439706,41.64459958
-87.61473491,41.64459414
-87.61508462,41.64459249
-87.61554333,41.6445903
-87.61604994,41.64458786
-87.61643584,41.64458605
-87.61672526,41.64458464
-87.61684743,41.64458449
-87.61721572,41.64458403
-87.61723051,41.64672249
-87.61723267,41.64703453
-87.61723676,41.64762519
-87.61723089,41.64792189
-87.61722823,41.64805601
-87.61722464,41.64858559
-87.61722699,41.6489335
-87.61722988,41.64936131
-87.61722915,41.649612
-87.61722998,41.6502756
-87.61734763,41.65028495
-87.61803445,41.65037364
-87.61908246,41.65059589
-87.62020518,41.65084672
-87.62112682,41.6511901
-87.62173717,41.65140961
-87.6221646,41.65177717
-87.62231943,41.65191032
-87.62260148,41.65241855
-87.62280706,41.65305763
-87.62285983,41.65365918
-87.62287374,41.65381777
-87.62281045,41.65452066
-87.62280421,41.65458124
-87.62270221,41.65530595
-87.62267995,41.65535835
-87.62252295,41.65572796
-87.62200499,41.6564098
-87.62117372,41.65721567
-87.62028055,41.6580815
-87.6198023,41.65881395
-87.61965646,41.65912072
-87.61945847,41.65953716
-87.61938552,41.66006056
-87.61951184,41.66078669
-87.61985721,41.66114143
-87.6202529,41.66136569
-87.6220944,41.66216059
-87.62211353,41.66216885
-87.62377176,41.66185947
-87.62479088,41.66139376
-87.62502731,41.66132452
-87.626111,41.66084438
-87.62657384,41.660542
-87.62698834,41.66023622
-87.62751951,41.65984436
-87.62885665,41.65880207
-87.62991401,41.65818012
-87.63054325,41.65791401
-87.63100714,41.65771783
-87.63197449,41.65732043
-87.63279422,41.65713784
-87.63304014,41.65708306
-87.63412958,41.65695838
-87.63526812,41.6569184
-87.63530235,41.65692248
-87.63580021,41.65693206
-87.63643374,41.65698229
-87.63674898,41.65700729
-87.63848415,41.6571828
-87.63997661,41.6573134
-87.64084313,41.657501
-87.64121764,41.65751766
-87.64123049,41.65751823
-87.64129455,41.65752108
-87.64200203,41.65742113
-87.64349701,41.65731721
-87.64444674,41.65730467
-87.64594596,41.65723635
-87.64770429,41.65702439
-87.64741202,41.65825039
-87.64716898,41.65828214
-87.64705168,41.65829741
-87.64711447,41.6606761
-87.64718,41.66315918
-87.64717832,41.66315921
-87.64690094,41.66316351
-87.64689278,41.66316363
-87.64666859,41.66316711
-87.64629376,41.66317319
-87.64608984,41.6631765
-87.64587268,41.66318019
-87.64569258,41.66318329
-87.64564544,41.6631841
-87.64542926,41.66318693
-87.64508462,41.66319082
-87.6448888,41.66319302
-87.64466163,41.66319726
-87.64447586,41.66320076
-87.64445401,41.66320117
-87.64438388,41.66320217
-87.64423146,41.66320445
-87.64386447,41.66321041
-87.64364507,41.66321397
-87.64331506,41.66321838
-87.64325826,41.66321893
-87.64304429,41.66322098
-87.64283259,41.66322289
-87.64265121,41.66322635
-87.64238121,41.66323149
-87.64216056,41.66323516
-87.64205468,41.66323661
-87.64188839,41.6632389
-87.64150519,41.66324398
-87.64142094,41.6632451
-87.64148186,41.66506571
-87.64154301,41.66689305
-87.64160397,41.66871487
-87.64166503,41.67053954
-87.64173558,41.67053866
-87.64192018,41.67053636
-87.64214092,41.67053313
-87.64227357,41.67053122
-87.64241016,41.67052926
-87.64268186,41.67052507
-87.64288347,41.67052101
-87.64308853,41.67051687
-87.6432914,41.67051402
-87.6434894,41.67051173
-87.64354442,41.6705111
-87.64384923,41.67050812
-87.64409828,41.67050372
-87.64430607,41.67050006
-87.64439206,41.67049829
-87.64469338,41.67049362
-87.64471055,41.67049343
-87.64509626,41.67048914
-87.64531888,41.67048559
-87.64555496,41.67048182
-87.64592031,41.67047582
-87.64593275,41.67047565
-87.64632668,41.67047008
-87.64653326,41.67046697
-87.64673116,41.67046398
-87.64714501,41.67045716
-87.64720135,41.67045623
-87.64748952,41.67045188
-87.64775635,41.67044763
-87.64793416,41.67044479
-87.64834042,41.67043934
-87.64836414,41.67043898
-87.64873175,41.67043341
-87.64897164,41.6704293
-87.64929292,41.6704238
-87.64958322,41.67041875
-87.64959299,41.67041859
-87.64996015,41.67041407
-87.65019004,41.67041093
-87.65047192,41.67040707
-87.65079523,41.67040247
-87.65083498,41.6704019
-87.6512149,41.67039578
-87.65141119,41.67039277
-87.65159408,41.67038997
-87.65201455,41.67038329
-87.65203831,41.67038291
-87.65241658,41.67037651
-87.65262718,41.67037341
-87.65274377,41.6703717
-87.65323823,41.6703642
-87.65327993,41.67036356
-87.65345791,41.67036112
-87.65350549,41.6703607
-87.65384377,41.67035684
-87.6540652,41.67035432
-87.65435279,41.67034943
-87.65445314,41.67034757
-87.65461015,41.67034464
-87.65484906,41.67033985
-87.65506665,41.67033654
-87.65524288,41.67033386
-87.6556378,41.67032809
-87.65567109,41.6703276
-87.65595782,41.67032334
-87.65628094,41.67031872
-87.65655853,41.67031475
-87.65687705,41.67031017
-87.65711526,41.67030631
-87.65712434,41.67030617
-87.6572543,41.67030372
-87.65749419,41.67029978
-87.65774865,41.67029559
-87.65807024,41.67029145
-87.65828728,41.6702883
-87.65849842,41.67028614
-87.6586523,41.67028523
-87.65872401,41.67031009
-87.65879486,41.67033464
-87.65888644,41.67032673
-87.65906974,41.67032358
-87.65936381,41.67031839
-87.66115006,41.67033513
-87.66115664,41.67053142
-87.66116186,41.67074051
-87.66117121,41.67099552
-87.66118027,41.67124327
-87.66118801,41.67145359
-87.66119545,41.67166668
-87.66120825,41.67206548
-87.66121566,41.67229632
-87.66122601,41.67254664
-87.6612346,41.67279708
-87.6612424,41.67305784
-87.66125099,41.67328323
-87.66125874,41.67348161
-87.66126565,41.67373262
-87.66127086,41.67389015
-87.66127991,41.67416359
-87.66128761,41.67437311
-87.6612949,41.67457292
-87.66130194,41.67476169
-87.66130833,41.67494625
-87.66131301,41.67508399
-87.66131845,41.67524726
-87.66131885,41.67526093
-87.6613209,41.67533487
-87.66132278,41.67539767
-87.66133203,41.67571094
-87.66135173,41.6763778
-87.66136133,41.67670278
-87.66137365,41.67702427
-87.66138359,41.67730754
-87.66138221,41.67744746
-87.66136506,41.67754426
-87.66155686,41.67754012
-87.66175811,41.67753578
-87.66213572,41.67752763
-87.66233632,41.6775233
-87.66246286,41.67752057
-87.66253395,41.67751904
-87.66298741,41.67750972
-87.66334017,41.67750278
-87.66373647,41.67749496
-87.66403655,41.67748908
-87.66433801,41.67748376
-87.66463948,41.67747843
-87.66502786,41.67747237
-87.66529794,41.67746815
-87.66558106,41.67746264
-87.6660459,41.67745359
-87.66623611,41.67744936
-87.66645202,41.67744456
-87.66695019,41.67743381
-87.66741442,41.67742607
-87.66803353,41.67741577
-87.66849959,41.67740804
-87.66859402,41.67740647
-87.66892978,41.67740089
-87.66946417,41.67739193
-87.66983387,41.67738573
-87.67016975,41.67738009
-87.67054387,41.67737199
-87.6708482,41.67736539
-87.67109724,41.67735981
-87.67115785,41.6773578
-87.67126379,41.67735428
-87.67136489,41.67735092
-87.67160655,41.67734759
-87.6716871,41.67734605
-87.67187765,41.67734232
-87.67217032,41.67733656
-87.67239836,41.67733351
-87.67260296,41.67733219
-87.67267281,41.67733174
-87.67298306,41.67732647
-87.67322917,41.67732181
-87.67338535,41.67731885
-87.67359902,41.6773153
-87.67386918,41.67731081
-87.67393292,41.67730963
-87.67408808,41.67730674
-87.67439079,41.67730123
-87.67462774,41.677297
-87.67488505,41.67729238
-87.67516206,41.67728772
