"District";"Latitude";"Longitude"
"6";41.721721501;-87.623311963
"10";41.856152445;-87.704164902
"24";41.994553982;-87.699536943
"10";41.851257196;-87.717422803
"4";41.74519462;-87.58583056
"1";41.843922218;-87.6269207
"6";41.757975459;-87.613870647
"8";41.743867618;-87.702228253
"11";41.892769715;-87.711353313
"18";41.904493689;-87.643246928
"9";41.795503423;-87.645191163
"9";41.801494792;-87.651736072
"19";41.965781301;-87.657716788
"9";41.802183389;-87.673316489
"7";41.786186388;-87.653456601
"11";41.895434688;-87.719059064
"7";41.771294134;-87.670062673
"4";41.751708436;-87.568145845
"12";41.882100231;-87.685079332
"22";41.686448536;-87.642195568
"18";41.898689383;-87.64183649
"18";41.896427495;-87.628193572
"25";41.931888421;-87.718937274
"6";41.750843608;-87.603952966
"7";41.769984326;-87.65303385
"22";41.72620839;-87.651854701
"6";41.755994833;-87.599240093
"6";41.750549775;-87.605220611
"6";41.746871168;-87.606324878
"10";41.855889399;-87.71996621
"11";41.866428839;-87.703509785
"8";41.795124546;-87.766214085
"20";41.975729415;-87.654989539
"16";41.955677956;-87.771976661
"17";41.950989747;-87.723863738
"18";41.894824927;-87.631788635
"6";41.749811211;-87.611253641
"10";41.85837665;-87.727383259
"22";41.690082704;-87.642306781
"2";41.82462203;-87.621622189
"4";41.74933321;-87.557704239
"10";41.849408464;-87.712492921
"3";41.783260882;-87.607248571
"4";41.698393131;-87.532867682
"18";41.903684856;-87.645195215
"8";41.777233274;-87.697325797
"6";41.756057234;-87.654929158
"9";41.835249508;-87.670518283
"16";41.955357208;-87.780527143
"6";41.752470539;-87.634345074
"3";41.761321097;-87.609119693
"4";41.730288134;-87.59740067
"9";41.794831035;-87.687730756
"9";41.794898201;-87.684066526
"4";41.751457646;-87.552892516
"15";41.880856327;-87.752637209
"11";41.873699424;-87.704705156
"11";41.873699424;-87.704705156
"11";41.873699424;-87.704705156
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"15";41.885719041;-87.747216756
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.87528833;-87.724051086
"11";41.877047448;-87.728734436
"8";41.781933589;-87.684934293
"10";41.845723976;-87.711166927
"19";41.96416436;-87.656682274
"5";41.659152699;-87.635281932
"15";41.874574905;-87.754845736
"25";41.924553066;-87.720984615
"9";41.823377948;-87.712792146
"8";41.768249915;-87.688726811
